sentiment,time,hashtags
1,1421697980,EFC
1,1421697980,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
2,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697983,EFC
1,1421697983,EFC
1,1421697983,EFC
1,1421697983,EFC
0,1421697983,EFC
1,1421697983,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697986,EFC
0,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697987,EFC
1,1421697987,EFC
3,1421697994,EFC
0,1421698003,EFC
0,1421698005,
2,1421698006,EFC
1,1421698007,EFC
0,1421698027,
0,1421698028,EFC
2,1421698030,
3,1421698034,EFC
0,1421698034,WBA
0,1421698035,EFC
0,1421698035,EFC
1,1421698056,EFC
1,1421698058,EFC
0,1421698073,EFC
0,1421698073,
1,1421698075,EFC
0,1421698075,
-5,1421698076,EFC
1,1421698086,EFC
5,1421698088,EFC
0,1421698090,EFC
4,1421698090,EFC
-4,1421698091,EFC
2,1421698095,EFC
1,1421698097,EFC
0,1421698099,
-4,1421698101,WBA
0,1421698101,EFC
0,1421698104,EFC
0,1421698107,
0,1421698116,
4,1421698118,EFC
1,1421698124,EFC
0,1421698125,EFC
0,1421698128,EFC
0,1421698128,EFC
0,1421698139,
2,1421698144,EFC
0,1421698150,EFC
0,1421698157,EFC
0,1421698157,EFC
0,1421698157,EFC
0,1421698159,
7,1421698168,EFC
3,1421698169,EFC
-1,1421698175,
0,1421698184,
0,1421698191,EFC
0,1421698197,EFC
-2,1421698213,EFC
0,1421698220,
0,1421698223,EFC
0,1421698227,EFC
-4,1421698234,Both
5,1421698240,EFC
0,1421698244,EFC
0,1421698248,EFC
2,1421698250,EFC
0,1421698260,
0,1421698260,EFC
0,1421698263,EFC
0,1421698264,EFC
3,1421698273,EFC
0,1421698287,EFC
1,1421698288,EFC
5,1421698293,WBA
-2,1421698296,EFC
0,1421698301,EFC
0,1421698301,Both
0,1421698301,EFC
0,1421698304,
0,1421698306,EFC
0,1421698308,EFC
4,1421698308,Both
2,1421698322,
-2,1421698323,EFC
0,1421698330,EFC
0,1421698332,Both
1,1421698334,EFC
0,1421698337,
-3,1421698339,EFC
0,1421698341,EFC
0,1421698343,EFC
0,1421698346,EFC
5,1421698346,Both
-3,1421698350,EFC
-2,1421698357,Both
0,1421698357,EFC
1,1421698363,EFC
0,1421698366,EFC
5,1421698371,EFC
0,1421698372,EFC
0,1421698376,EFC
0,1421698388,
1,1421698398,EFC
2,1421698400,EFC
-2,1421698400,EFC
0,1421698400,EFC
3,1421698409,EFC
0,1421698411,WBA
5,1421698412,EFC
0,1421698426,EFC
-1,1421698430,EFC
-3,1421698434,EFC
3,1421698445,EFC
0,1421698457,EFC
0,1421698457,EFC
1,1421698460,EFC
-2,1421698462,WBA
3,1421698462,Both
0,1421698462,Both
2,1421698469,EFC
0,1421698472,EFC
2,1421698475,EFC
1,1421698475,EFC
5,1421698477,EFC
0,1421698477,EFC
1,1421698478,EFC
2,1421698494,EFC
1,1421698495,EFC
0,1421698505,EFC
-2,1421698506,WBA
0,1421698506,EFC
-3,1421698509,EFC
-3,1421698509,EFC
-3,1421698509,EFC
0,1421698514,Both
0,1421698514,Both
1,1421698515,EFC
-3,1421698522,EFC
0,1421698524,EFC
1,1421698525,EFC
2,1421698526,EFC
0,1421698531,EFC
-4,1421698533,EFC
0,1421698538,EFC
0,1421698540,EFC
0,1421698543,
0,1421698546,EFC
0,1421698546,EFC
0,1421698547,EFC
0,1421698549,
0,1421698552,EFC
6,1421698555,
0,1421698556,EFC
-9,1421698557,EFC
0,1421698557,EFC
0,1421698565,EFC
0,1421698569,EFC
0,1421698570,
4,1421698570,
4,1421698571,EFC
0,1421698572,EFC
0,1421698575,EFC
0,1421698576,EFC
1,1421698581,EFC
0,1421698584,EFC
0,1421698589,EFC
0,1421698595,EFC
0,1421698598,EFC
0,1421698599,EFC
0,1421698600,EFC
-1,1421698606,EFC
3,1421698607,EFC
0,1421698607,EFC
0,1421698609,EFC
0,1421698611,EFC
4,1421698613,EFC
-1,1421698613,
0,1421698623,EFC
0,1421698624,Both
-1,1421698624,EFC
2,1421698629,EFC
-3,1421698631,WBA
9,1421698639,EFC
0,1421698648,EFC
0,1421698649,EFC
0,1421698649,EFC
2,1421698658,EFC
0,1421698671,
2,1421698672,EFC
0,1421698672,EFC
0,1421698682,Both
0,1421698687,EFC
0,1421698690,EFC
0,1421698690,EFC
4,1421698692,EFC
0,1421698693,EFC
-3,1421698700,EFC
0,1421698715,EFC
1,1421698720,EFC
0,1421698724,EFC
-6,1421698725,EFC
0,1421698727,
0,1421698732,EFC
-3,1421698737,EFC
-7,1421698740,EFC
3,1421698746,EFC
-3,1421698749,Both
0,1421698752,EFC
4,1421698752,EFC
5,1421698754,WBA
0,1421698767,EFC
0,1421698772,EFC
0,1421698779,EFC
0,1421698780,EFC
0,1421698785,EFC
0,1421698786,EFC
-4,1421698795,EFC
-2,1421698797,EFC
0,1421698798,EFC
-2,1421698798,EFC
0,1421698800,EFC
0,1421698801,Both
1,1421698803,
0,1421698803,Both
6,1421698810,WBA
0,1421698810,EFC
2,1421698815,EFC
0,1421698825,EFC
1,1421698830,
-3,1421698831,EFC
0,1421698839,EFC
4,1421698843,Both
-2,1421698852,EFC
0,1421698855,EFC
0,1421698855,EFC
0,1421698864,WBA
3,1421698872,EFC
0,1421698873,EFC
0,1421698873,
-2,1421698873,Both
0,1421698878,EFC
-1,1421698881,EFC
0,1421698882,EFC
0,1421698882,EFC
0,1421698882,EFC
0,1421698882,EFC
0,1421698884,EFC
-3,1421698884,EFC
0,1421698885,EFC
5,1421698886,EFC
0,1421698887,EFC
0,1421698890,EFC
0,1421698892,EFC
-4,1421698892,EFC
-2,1421698908,EFC
4,1421698914,Both
1,1421698926,EFC
4,1421698929,EFC
0,1421698938,WBA
0,1421698939,EFC
-1,1421698940,EFC
0,1421698942,EFC
2,1421698943,EFC
2,1421698946,
0,1421698950,EFC
1,1421698951,EFC
1,1421698953,EFC
1,1421698958,EFC
2,1421698958,EFC
0,1421698963,EFC
2,1421698968,
-1,1421698968,EFC
0,1421698974,EFC
0,1421698976,EFC
0,1421698977,EFC
0,1421698995,EFC
-2,1421698997,EFC
0,1421699023,EFC
6,1421699024,EFC
0,1421699025,EFC
0,1421699026,EFC
8,1421699047,EFC
1,1421699047,EFC
4,1421699049,WBA
3,1421699055,EFC
0,1421699058,EFC
0,1421699069,EFC
1,1421699075,EFC
1,1421699078,EFC
-1,1421699082,EFC
-1,1421699083,EFC
0,1421699087,EFC
-5,1421699087,EFC
0,1421699088,EFC
0,1421699091,EFC
0,1421699095,EFC
-1,1421699096,
0,1421699099,
0,1421699104,EFC
3,1421699105,EFC
-5,1421699105,EFC
0,1421699106,EFC
2,1421699112,EFC
2,1421699113,EFC
-3,1421699129,EFC
0,1421699132,WBA
0,1421699133,WBA
3,1421699133,WBA
0,1421699142,EFC
-4,1421699142,EFC
2,1421699150,WBA
0,1421699152,EFC
0,1421699158,EFC
0,1421699161,EFC
0,1421699167,EFC
3,1421699170,EFC
2,1421699171,EFC
0,1421699182,EFC
-2,1421699183,EFC
-1,1421699186,EFC
0,1421699186,WBA
3,1421699189,EFC
3,1421699190,EFC
1,1421699191,EFC
0,1421699192,WBA
3,1421699195,EFC
0,1421699196,WBA
-4,1421699199,EFC
1,1421699199,Both
3,1421699202,EFC
3,1421699202,EFC
3,1421699205,EFC
3,1421699209,EFC
3,1421699209,EFC
3,1421699209,EFC
3,1421699211,EFC
3,1421699214,EFC
0,1421699216,EFC
3,1421699220,EFC
3,1421699221,EFC
0,1421699221,EFC
-4,1421699222,EFC
3,1421699222,EFC
3,1421699222,EFC
2,1421699224,EFC
3,1421699225,EFC
3,1421699230,EFC
5,1421699238,Both
-1,1421699239,EFC
3,1421699240,EFC
3,1421699243,EFC
3,1421699244,EFC
3,1421699244,EFC
3,1421699245,EFC
-1,1421699246,EFC
3,1421699248,EFC
0,1421699249,EFC
-8,1421699249,EFC
-1,1421699249,EFC
-4,1421699250,EFC
-3,1421699251,
2,1421699256,EFC
0,1421699257,EFC
0,1421699259,
-2,1421699264,EFC
4,1421699265,EFC
0,1421699269,EFC
0,1421699269,EFC
2,1421699270,
0,1421699271,EFC
0,1421699272,EFC
2,1421699275,EFC
-1,1421699276,WBA
3,1421699278,EFC
3,1421699278,EFC
-1,1421699278,EFC
3,1421699282,
3,1421699283,EFC
